conf,matched_queries,title,citation_count,abstract,categories,concepts,code_url,pdf_url,authors,doi
IJCV2025,,From Gaze Jitter to Domain Adaptation: Generalizing Gaze Estimation by Manipulating High-Frequency Components.,-1,,,,,,"Ruicong Liu,Haofei Wang,Feng Lu",
IJCV2025,,2D Semantic-Guided Semantic Scene Completion.,-1,,,,,,"Xianzhu Liu,Haozhe Xie,Shengping Zhang,Hongxun Yao,Rongrong Ji,Liqiang Nie,Dacheng Tao",
IJCV2025,,Dissecting Out-of-Distribution Detection and Open-Set Recognition: A Critical Analysis of Methods and Benchmarks.,-1,,,,,,"Hongjun Wang,Sagar Vaze,Kai Han",
IJCV2025,,MapTRv2: An End-to-End Framework for Online Vectorized HD Map Construction.,-1,,,,,,"Bencheng Liao,Shaoyu Chen,Yunchi Zhang,Bo Jiang,Qian Zhang,Wenyu Liu,Chang Huang,Xinggang Wang",
IJCV2025,,Bi-VLGM: Bi-Level Class-Severity-Aware Vision-Language Graph Matching for Text Guided Medical Image Segmentation.,-1,,,,,,"Wenting Chen,Jie Liu,Tianming Liu,Yixuan Yuan",
IJCV2025,,Unified Frequency-Assisted Transformer Framework for Detecting and Grounding Multi-modal Manipulation.,-1,,,,,,"Huan Liu,Zichang Tan,Qiang Chen,Yunchao Wei,Yao Zhao,Jingdong Wang",
IJCV2025,,LSKNet: A Foundation Lightweight Backbone for Remote Sensing.,-1,,,,,,"Yuxuan Li,Xiang Li,Yimian Dai,Qibin Hou,Li Liu,Yongxiang Liu,Ming-Ming Cheng,Jian Yang",
IJCV2025,,Editor's Note: Special Issue on German Conference on Pattern Recognition (DAGM GCPR).,-1,,,,,,Bastian Goldluecke,
IJCV2025,,Editor's Note: Special Issue on Computer Vision Approaches for Animal Tracking and Modeling 2023.,-1,,,,,,,
IJCV2025,,Correction: Variational Rectification Inference for Learning with Noisy Labels.,-1,,,,,,"Haoliang Sun,Qi Wei,Lei Feng,Yupeng Hu,Fan Liu,Hehe Fan,Yilong Yin",
IJCV2025,,Group-Based Distinctive Image Captioning with Memory Difference Encoding and Attention.,-1,,,,,,"Jiuniu Wang,Wenjia Xu,Qingzhong Wang,Antoni B. Chan",
IJCV2025,,MosaicFusion: Diffusion Models as Data Augmenters for Large Vocabulary Instance Segmentation.,-1,,,,,,"Jiahao Xie,Wei Li,Xiangtai Li,Ziwei Liu,Yew Soon Ong,Chen Change Loy",
IJCV2025,,Using Unreliable Pseudo-Labels for Label-Efficient Semantic Segmentation.,-1,,,,,,"Haochen Wang,Yuchao Wang,Yujun Shen,Junsong Fan,Yuxi Wang,Zhaoxiang Zhang",
IJCV2025,,DLRA-Net: Deep Local Residual Attention Network with Contextual Refinement for Spectral Super-Resolution.,-1,,,,,,"Ahmed R. El-gabri,Hussein A. Aly,Tarek Elsaid Ghoniemy,Mohamed A. Elshafey",
IJCV2025,,Mining Generalized Multi-timescale Inconsistency for Detecting Deepfake Videos.,-1,,,,,,"Yang Yu,Rongrong Ni,Siyuan Yang,Yu Ni,Yao Zhao,Alex C. Kot",
IJCV2025,,Edge-Oriented Adversarial Attack for Deep Gait Recognition.,-1,,,,,,"Saihui Hou,Zengbin Wang,Man Zhang,Chunshui Cao,Xu Liu,Yongzhen Huang",
IJCV2025,,4Seasons: Benchmarking Visual SLAM and Long-Term Localization for Autonomous Driving in Challenging Conditions.,-1,,,,,,"Patrick Wenzel,Nan Yang,Rui Wang,Niclas Zeller,Daniel Cremers",
IJCV2025,,Towards Ultra High-Speed Hyperspectral Imaging by Integrating Compressive and Neuromorphic Sampling.,-1,,,,,,"Mengyue Geng,Lizhi Wang,Lin Zhu,Wei Zhang,Ruiqin Xiong,Yonghong Tian",
IJCV2025,,Learning Accurate Low-bit Quantization towards Efficient Computational Imaging.,-1,,,,,,"Sheng Xu,Yanjing Li,Chuanjian Liu,Baochang Zhang",
IJCV2025,,Audio-Visual Segmentation with Semantics.,-1,,,,,,"Jinxing Zhou,Xuyang Shen,Jianyuan Wang,Jiayi Zhang,Weixuan Sun,Jing Zhang,Stan Birchfield,Dan Guo,Lingpeng Kong,Meng Wang,Yiran Zhong",
IJCV2025,,Blind Multimodal Quality Assessment of Low-Light Images.,-1,,,,,,"Miaohui Wang,Zhuowei Xu,Mai Xu,Weisi Lin",
IJCV2025,,Towards Data-Centric Face Anti-spoofing: Improving Cross-Domain Generalization via Physics-Based Data Synthesis.,-1,,,,,,"Rizhao Cai,Cecelia Soh,Zitong Yu,Haoliang Li,Wenhan Yang,Alex C. Kot",
IJCV2025,,Facial Action Unit Detection by Adaptively Constraining Self-Attention and Causally Deconfounding Sample.,-1,,,,,,"Zhiwen Shao,Hancheng Zhu,Yong Zhou,Xiang Xiang,Bing Liu,Rui Yao,Lizhuang Ma",
IJCV2025,,On the Generalization and Causal Explanation in Self-Supervised Learning.,-1,,,,,,"Wenwen Qiang,Zeen Song,Ziyin Gu,Jiangmeng Li,Changwen Zheng,Fuchun Sun,Hui Xiong",
IJCV2025,,Interweaving Insights: High-Order Feature Interaction for Fine-Grained Visual Recognition.,-1,,,,,,"Arindam Sikdar,Yonghuai Liu,Siddhardha Kedarisetty,Yitian Zhao,Amr Ahmed,Ardhendu Behera",
IJCV2025,,AgMTR: Agent Mining Transformer for Few-Shot Segmentation in Remote Sensing.,-1,,,,,,"Hanbo Bi,Yingchao Feng,Yongqiang Mao,Jianning Pei,Wenhui Diao,Hongqi Wang,Xian Sun",
IJCV2025,,CogCartoon: Towards Practical Story Visualization.,-1,,,,,,"Zhongyang Zhu,Jie Tang",
IJCV2025,,Learning Text-to-Video Retrieval from Image Captioning.,-1,,,,,,"Lucas Ventura,Cordelia Schmid,Gül Varol",
IJCV2025,,Neural Vector Fields for Implicit Surface Representation and Inference.,-1,,,,,,"Edoardo Mello Rella,Ajad Chhatkuli,Ender Konukoglu,Luc Van Gool",
IJCV2025,,Show-1: Marrying Pixel and Latent Diffusion Models for Text-to-Video Generation.,-1,,,,,,"David Junhao Zhang,Jay Zhangjie Wu,Jia-Wei Liu,Rui Zhao,Lingmin Ran,Yuchao Gu,Difei Gao,Mike Zheng Shou",
IJCV2025,,StyleAdapter: A Unified Stylized Image Generation Model.,-1,,,,,,"Zhouxia Wang,Xintao Wang,Liangbin Xie,Zhongang Qi,Ying Shan,Wenping Wang,Ping Luo",
IJCV2025,,Sample Correlation for Fingerprinting Deep Face Recognition.,-1,,,,,,"Jiyang Guan,Jian Liang,Yanbo Wang,Ran He",
IJCV2025,,Dynamic Attention Vision-Language Transformer Network for Person Re-identification.,-1,,,,,,"Guifang Zhang,Shijun Tan,Zhe Ji,Yuming Fang",
IJCV2025,,A Memory-Assisted Knowledge Transferring Framework with Curriculum Anticipation for Weakly Supervised Online Activity Detection.,-1,,,,,,"Tianshan Liu,Kin-Man Lam,Bing-Kun Bao",
IJCV2025,,Improving 3D Finger Traits Recognition via Generalizable Neural Rendering.,-1,,,,,,"Hongbin Xu,Junduan Huang,Yuer Ma,Zifeng Li,Wenxiong Kang",
IJCV2025,,Basis Restricted Elastic Shape Analysis on the Space of Unregistered Surfaces.,-1,,,,,,"Emmanuel Hartman,Emery Pierson,Martin Bauer,Mohamed Daoudi,Nicolas Charon",
IJCV2025,,Anti-Fake Vaccine: Safeguarding Privacy Against Face Swapping via Visual-Semantic Dual Degradation.,-1,,,,,,"Jingzhi Li,Changjiang Luo,Hua Zhang,Yang Cao,Xin Liao,Xiaochun Cao",
IJCV2025,,APPTracker+: Displacement Uncertainty for Occlusion Handling in Low-Frame-Rate Multiple Object Tracking.,-1,,,,,,"Tao Zhou,Qi Ye,Wenhan Luo,Haizhou Ran,Zhiguo Shi,Jiming Chen",
IJCV2025,,Achieving Procedure-Aware Instructional Video Correlation Learning Under Weak Supervision from a Collaborative Perspective.,-1,,,,,,"Tianyao He,Huabin Liu,Zelin Ni,Yuxi Li,Xiao Ma,Cheng Zhong,Yang Zhang,Yingxue Wang,Weiyao Lin",
IJCV2025,,Few Annotated Pixels and Point Cloud Based Weakly Supervised Semantic Segmentation of Driving Scenes.,-1,,,,,,"Huimin Ma,Sheng Yi,Shijie Chen,Jiansheng Chen,Yu Wang",
IJCV2025,,EfficientDeRain+: Learning Uncertainty-Aware Filtering via RainMix Augmentation for High-Efficiency Deraining.,-1,,,,,,"Qing Guo,Hua Qi,Jingyang Sun,Felix Juefei-Xu,Lei Ma,Di Lin,Wei Feng,Song Wang",
IJCV2025,,Day2Dark: Pseudo-Supervised Activity Recognition Beyond Silent Daylight.,-1,,,,,,"Yunhua Zhang,Hazel Doughty,Cees G. M. Snoek",
IJCV2025,,Rethinking Contemporary Deep Learning Techniques for Error Correction in Biometric Data.,-1,,,,,,"Yen-Lung Lai,Xingbo Dong,Zhe Jin,Wei Jia,Massimo Tistarelli,Xuejun Li",
IJCV2025,,Adaptive Middle Modality Alignment Learning for Visible-Infrared Person Re-identification.,-1,,,,,,"Yukang Zhang,Yan Yan,Yang Lu,Hanzi Wang",
IJCV2025,,MVTN: Learning Multi-view Transformations for 3D Understanding.,-1,,,,,,"Abdullah Hamdi,Faisal AlZahrani,Silvio Giancola,Bernard Ghanem",
IJCV2025,,Diagnosing Human-Object Interaction Detectors.,-1,,,,,,"Fangrui Zhu,Yiming Xie,Weidi Xie,Huaizu Jiang",
IJCV2025,,Correction: Multi-source-free Domain Adaptive Object Detection.,-1,,,,,,"Sicheng Zhao,Huizai Yao,Chuang Lin,Yue Gao,Guiguang Ding",
IJCV2025,,Correction: Continual Face Forgery Detection via Historical Distribution Preserving.,-1,,,,,,"Ke Sun,Shen Chen,Taiping Yao,Xiaoshuai Sun,Shouhong Ding,Rongrong Ji",
IJCV2025,,Learning to Detect Novel Species with SAM in the Wild.,-1,,,,,,"Garvita Allabadi,Ana Lucic,Yu-Xiong Wang,Vikram S. Adve",
IJCV2025,,Feature Matching via Graph Clustering with Local Affine Consensus.,-1,,,,,,"Yifan Lu,Jiayi Ma",
IJCV2025,,Pulling Target to Source: A New Perspective on Domain Adaptive Semantic Segmentation.,-1,,,,,,"Haochen Wang,Yujun Shen,Jingjing Fei,Wei Li,Liwei Wu,Yuxi Wang,Zhaoxiang Zhang",
IJCV2025,,Warping the Residuals for Image Editing with StyleGAN.,-1,,,,,,"Ahmet Burak Yildirim,Hamza Pehlivan,Aysegul Dundar",
IJCV2025,,CS-CoLBP: Cross-Scale Co-occurrence Local Binary Pattern for Image Classification.,-1,,,,,,"Bin Xiao,Danyu Shi,Xiuli Bi,Weisheng Li,Xinbo Gao",
IJCV2025,,NAFT and SynthStab: A RAFT-Based Network and a Synthetic Dataset for Digital Video Stabilization.,-1,,,,,,"Marcos Roberto e Souza,Helena de Almeida Maia,Hélio Pedrini",
IJCV2025,,One-Shot Generative Domain Adaptation in 3D GANs.,-1,,,,,,"Ziqiang Li,Yi Wu,Chaoyue Wang,Xue Rui,Bin Li",
IJCV2025,,Reliable Evaluation of Attribution Maps in CNNs: A Perturbation-Based Approach.,-1,,,,,,"Lars Nieradzik,Henrike Stephani,Janis Keuper",
IJCV2025,,Transformer for Object Re-identification: A Survey.,-1,,,,,,"Mang Ye,Shuoyi Chen,Chenyue Li,Wei-Shi Zheng,David Crandall,Bo Du",
IJCV2025,,Globally Correlation-Aware Hard Negative Generation.,-1,,,,,,"Wenjie Peng,Hongxiang Huang,Tianshui Chen,Quhui Ke,Gang Dai,Shuangping Huang",
IJCV2025,,IEBins: Iterative Elastic Bins for Monocular Depth Estimation and Completion.,-1,,,,,,"Shuwei Shao,Zhongcai Pei,Weihai Chen,Peter C. Y. Chen,Zhengguo Li",
IJCV2025,,"ICEv2: Interpretability, Comprehensiveness, and Explainability in Vision Transformer.",-1,,,,,,"Hoyoung Choi,Seungwan Jin,Kyungsik Han",
IJCV2025,,"Draw Sketch, Draw Flesh: Whole-Body Computed Tomography from Any X-Ray Views.",-1,,,,,,"Yongsheng Pan,Yiwen Ye,Yanning Zhang,Yong Xia,Dinggang Shen",
IJCV2025,,DiffLLE: Diffusion-based Domain Calibration for Weak Supervised Low-light Image Enhancement.,-1,,,,,,"Shuzhou Yang,Xuanyu Zhang,Yinhuai Wang,Jiwen Yu,Yuhan Wang,Jian Zhang",
IJCV2025,,ReFusion: Learning Image Fusion from Reconstruction with Learnable Loss Via Meta-Learning.,-1,,,,,,"Haowen Bai,Zixiang Zhao,Jiangshe Zhang,Yichen Wu,Lilun Deng,Yukun Cui,Baisong Jiang,Shuang Xu",
IJCV2025,,Instance-dependent Label Distribution Estimation for Learning with Label Noise.,-1,,,,,,"Zehui Liao,Shishuai Hu,Yutong Xie,Yong Xia",
IJCV2025,,CLIP-Powered TASS: Target-Aware Single-Stream Network for Audio-Visual Question Answering.,-1,,,,,,"Yuanyuan Jiang,Jianqin Yin",
IJCV2025,,Modality-missing RGBT Tracking: Invertible Prompt Learning and High-quality Benchmarks.,-1,,,,,,"Andong Lu,Chenglong Li,Jiacong Zhao,Jin Tang,Bin Luo",
IJCV2025,,Object Pose Estimation Based on Multi-precision Vectors and Seg-Driven PnP.,-1,,,,,,"Yulin Wang,Hongli Li,Chen Luo",
IJCV2025,,An Evaluation of Zero-Cost Proxies - from Neural Architecture Performance Prediction to Model Robustness.,-1,,,,,,"Jovita Lukasik,Michael Möller,Margret Keuper",
IJCV2025,,Occlusion-Preserved Surveillance Video Synopsis with Flexible Object Graph.,-1,,,,,,"Yongwei Nie,Wei Ge,Siming Zeng,Qing Zhang,Guiqing Li,Ping Li,Hongmin Cai",
IJCV2025,,Language-Guided Hierarchical Fine-Grained Image Forgery Detection and Localization.,-1,,,,,,"Xiao Guo,Xiaohong Liu,Iacopo Masi,Xiaoming Liu",
IJCV2025,,Image-Based Virtual Try-On: A Survey.,-1,,,,,,"Dan Song,Xuanpu Zhang,Juan Zhou,Weizhi Nie,Ruofeng Tong,Mohan S. Kankanhalli,An-An Liu",
IJCV2025,,On Mitigating Stability-Plasticity Dilemma in CLIP-guided Image Morphing via Geodesic Distillation Loss.,-1,,,,,,"Yeongtak Oh,Saehyung Lee,Uiwon Hwang,Sungroh Yoon",
IJCV2025,,InfoPro: Locally Supervised Deep Learning by Maximizing Information Propagation.,-1,,,,,,"Yulin Wang,Zanlin Ni,Yifan Pu,Cai Zhou,Jixuan Ying,Shiji Song,Gao Huang",
IJCV2025,,CMAE-3D: Contrastive Masked AutoEncoders for Self-Supervised 3D Object Detection.,-1,,,,,,"Yanan Zhang,Jiaxin Chen,Di Huang",
IJCV2025,,MaskDiffusion: Boosting Text-to-Image Consistency with Conditional Mask.,-1,,,,,,"Yupeng Zhou,Daquan Zhou,Yaxing Wang,Jiashi Feng,Qibin Hou",
IJCV2025,,MoDA: Modeling Deformable 3D Objects from Casual Videos.,-1,,,,,,"Chaoyue Song,Jiacheng Wei,Tianyi Chen,Yiwen Chen,Chuan-Sheng Foo,Fayao Liu,Guosheng Lin",
